priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
723,MiCibo,/go/micibo/,Italy,prepared meals,Italian healthy prepared meal and diet food delivery candidate,https://www.micibo.it/,direct partnership,Add to Italy prepared meal challenger pages,route_ready_affiliate_pending
724,Middagsfrid,/go/middagsfrid/,Sweden,meal kit,Swedish meal-kit pioneer closed by Axfood with customers referred to Linas Matkasse,https://www.middagsfrid.se/,not ready,Use for alternatives and history pages; route users to Linas Matkasse,route_ready_affiliate_pending
725,Miltown Eats,/go/miltown-eats/,US,meal kit,Milwaukee local meal-kit delivery brand with locally sourced and allergy-aware meal kits,https://www.miltowneats.com/,direct partnership,Add to Midwest local meal-kit pages,route_ready_affiliate_pending
726,Milts Food,/go/milts-food/,Cyprus,prepared meals,"Cyprus healthy food delivery service with organic, plant-based, and gluten-free positioning",https://www.miltsfood.com/,direct partnership,Add to Cyprus prepared meal challenger pages,route_ready_affiliate_pending
727,Mimi's Macros,/go/mimi-s-macros/,US,high protein meal prep,Northern Kentucky and Cincinnati-area chef-made macro-balanced meal-prep delivery brand,https://mimismacros.com/,direct partnership,Add to Cincinnati/Northern Kentucky macro meal-prep alternatives,route_ready_affiliate_pending
728,Mindful Meals TX,/go/mindful-meals-tx/,US,prepared meals,Austin and Hill Country weekly meal-delivery brand with omnivore and plant-based prepared meals,https://www.mindfulmealstx.com/,direct partnership,Add to Austin healthy prepared-meal pages,route_ready_affiliate_pending
729,Mingu,/go/mingu/,Colombia,prepared meals,Colombia app-led prepared meal plans delivered together for fridge/freezer stocking,https://www.mingu.co/,direct partnership,Add to Colombia app-led prepared meal alternatives,route_ready_affiliate_pending
730,Misfits Market,/go/misfits-market/,US,grocery dinner delivery,"online grocery delivery service for produce, pantry, and dinner-planning savings",https://www.misfitsmarket.com/,affiliate application,Add to grocery dinner and budget produce pages,route_ready_affiliate_pending
731,Mitsuboshi Farm,/go/mitsuboshi-farm/,Japan,frozen prepared meals,Japan frozen prepared side-dish delivery service with nutrition-supervised low-carb meal positioning,https://mitsuboshifarm.jp/,affiliate application,Add as Japan frozen prepared-meal anchor,route_ready_affiliate_pending
732,Model Meals,/go/model-meals/,US,prepared meals,prepared meal delivery brand with Whole30/clean eating heritage and regional service caveats,https://modelmeals.com/,direct partnership,Add to clean eating prepared meal pages with active-region check,route_ready_affiliate_pending
733,Momofuku Goods,/go/momofuku-goods/,US,meal starter kits,"noodles, sauces, and pantry goods for quick restaurant-style dinners at home",https://shop.momofuku.com/,retail affiliate,Add to noodle and pantry dinner helper pages,route_ready_affiliate_pending
734,Morgenlevering,/go/morgenlevering/,Norway,grocery dinner delivery,Norwegian breakfast and grocery delivery brand with easy-meal and local delivery relevance,https://morgenlevering.no/,affiliate application,Add to Norway grocery-dinner and local delivery pages,route_ready_affiliate_pending
735,Mother of Macros,/go/mother-of-macros/,US,high protein meal prep,US chef-prepared macro meal delivery brand with fresh weekly rotating menus and gluten-free/dairy-free options,https://motherofmacros.com/,direct partnership,Add to US macro meal-prep alternatives,route_ready_affiliate_pending
736,Munch Thyme,/go/munch-thyme/,US,premium prepared meals,US chef-prepared personalized meal delivery brand with seed-oil-free positioning,https://munchthyme.com/,direct partnership,Add to premium prepared meal pages,route_ready_affiliate_pending
737,Muscle Cell,/go/muscle-cell/,US,high protein meal prep,US fresh home-cooked high-protein meal delivery brand with 20g+ protein meals,https://musclecellhealth.com/,direct partnership,Add to US high-protein meal-prep alternatives,route_ready_affiliate_pending
738,Muscle Deli,/go/muscle-deli/,Japan,high protein prepared meals,Japanese high-protein diet and fitness meal delivery brand,https://muscledeli.jp/,direct partnership,Add to Japan high-protein and diet meal pages,route_ready_affiliate_pending
739,Muscle Fuel,/go/muscle-fuel/,New Zealand,high protein meal prep,New Zealand fitness meal prep candidate with high-protein and athlete demand,https://www.musclefuel.co.nz/,direct partnership,Add with active delivery caveat,route_ready_affiliate_pending
740,Muscle Fuel Meals,/go/muscle-fuel-meals/,US,high protein meal prep,"Florida local meal-prep delivery brand serving Pinellas, Pasco, Hillsborough, and Hernando counties",https://musclefuelmeals.com/,direct partnership,Add to Florida regional high-protein meal-prep pages,route_ready_affiliate_pending
741,Muscle Meals 2 Go,/go/muscle-meals-2-go/,UK,high protein prepared meals,UK high-protein prepared meal delivery brand with fitness and macro demand,https://musclemeals2go.com/,direct partnership,Add to UK high-protein challenger pages,route_ready_affiliate_pending
742,My Chef Meal Prep,/go/my-chef-meal-prep/,Canada,prepared meals,Vernon BC organic fully prepared meal delivery service,https://mychefmealprep.ca/,direct partnership,Add to Canada and BC prepared-meal alternatives,route_ready_affiliate_pending
743,My Chef Meals,/go/my-chef-meals/,Canada,prepared meals,Canadian fresh ready-to-eat meals with weekly rotating chef-crafted menu,https://mychefmeals.ca/,direct partnership,Add to Canada prepared-meal regional alternatives,route_ready_affiliate_pending
744,My Cuistot Paris,/go/my-cuistot-paris/,France,prepared meals,Paris healthy prepared-meal delivery service with customizable weekly meal plans,https://paris.mycuistot.com/,direct partnership,Add to Paris prepared-meal alternatives,route_ready_affiliate_pending
745,My Fit Foods,/go/my-fit-foods/,US,prepared meals,healthy affordable prepared meals with FitClub meal-prep positioning and delivery/store routes,https://www.myfitfoods.com/,direct partnership,Add to US value prepared-meal and fitness meal-prep pages,route_ready_affiliate_pending
746,My Healthy Penguin,/go/my-healthy-penguin/,US,high protein meal prep,"Southern California macro-balanced fresh meal-prep delivery brand serving Inland Empire, Los Angeles, Orange County, and San Diego routes",https://myhealthypenguin.com/,direct partnership,Add to Southern California high-protein meal-prep alternatives,route_ready_affiliate_pending
747,MyChef,/go/mychef/,South Korea,meal kit,South Korean meal-kit company referenced as one of the country's first and major meal-kit operators,https://www.mychef.kr/,direct partnership,Add to Korea meal-kit comparisons,route_ready_affiliate_pending
748,MyChef Algarve,/go/mychef-algarve/,Portugal,prepared meals,Algarve and Lagos chef-prepared fresh and frozen ready meals,https://mychef.shop/,direct partnership,Add to Algarve prepared and frozen meal alternatives,route_ready_affiliate_pending
749,Myfitnesschef,/go/myfitnesschef/,Mexico,diet prepared meals,Mexico balanced gourmet weekly meal delivery brand with recurring prepared meal demand,https://myfitnesschef.mx/home/,direct partnership,Add to Mexico prepared and fitness meal pages,route_ready_affiliate_pending
750,MyoMeals,/go/myomeals/,US,high protein meal prep,"Chicago meal-prep delivery brand with macros, pickup, and local delivery",https://myomealsprep.com/,direct partnership,Add to US regional high-protein meal-prep pages,route_ready_affiliate_pending
751,MyRealFood,/go/myrealfood/,Spain,grocery dinner delivery,Spanish healthy eating app and real-food grocery/dinner planning brand with consumer meal planning demand,https://myrealfood.app/,affiliate application,Add to Spain grocery-dinner and healthy meal planning pages,route_ready_affiliate_pending
752,MyWay,/go/myway/,Chile,prepared meals,Chile healthy prepared meal and meal-plan candidate with local delivery verification needed,https://myway.cl/,direct partnership,Add to Chile prepared meal candidate pages,route_ready_affiliate_pending
753,Natalie's Healthy Kitchen,/go/natalie-s-healthy-kitchen/,Portugal,meal kit,Portugal local healthy meal-kit alternative to HelloFresh serving Lisbon and Cascais with dietitian-planned recipes,https://www.natalieshealthykitchen.com/,direct partnership,Use as Portugal meal-kit anchor with Lisbon/Cascais delivery-area caveat,route_ready_affiliate_pending
754,NoCocinoMas,/go/nococinomas/,Spain,prepared meals,Spanish homemade prepared meal delivery candidate for Madrid/local dinner searches,https://www.nococinomas.es/,direct partnership,Add with local availability caveat,route_ready_affiliate_pending
755,Nokasoul,/go/nokasoul/,Japan,premium prepared meals,Tokyo farm-to-bento delivery brand preparing seasonal locally sourced bento for delivery,https://www.nokasoul.com/,direct partnership,Add to Tokyo premium prepared-meal alternatives,route_ready_affiliate_pending
756,Nootric,/go/nootric/,Spain,diet prepared meals,Spanish nutrition and diet meal-plan brand with healthy prepared meal delivery relevance,https://www.nootric.es/,direct partnership,Add to Spain diet meal and weight-loss pages,route_ready_affiliate_pending
757,Northstar Bison,/go/northstar-bison/,US,protein box,grass-fed bison and meat delivery brand for freezer protein and specialty dinner planning,https://www.northstarbison.com/,affiliate application,Add as specialty protein delivery adjacent,route_ready_affiliate_pending
758,nosh Japan,/go/nosh-japan/,Japan,frozen prepared meals,"Japanese frozen prepared meal delivery brand with healthy, low-carb, ready-meal positioning",https://nosh.jp/,direct partnership,Add to Japan frozen prepared meal pages,route_ready_affiliate_pending
759,Nourie,/go/nourie/,Nigeria,prepared meals,Abuja cloud kitchen and meal pre-order app with weekly and monthly meal plan positioning,https://www.eatnourie.com/,direct partnership,Add to Nigeria prepared meal and weekly meal-plan pages with app-route caveat,route_ready_affiliate_pending
760,Nourish Kitchen Oman,/go/nourish-kitchen-oman/,Oman,diet prepared meals,Muscat healthy prepared meal service with portion-controlled calorie-counted programs,https://nourishkitchen.me/,direct partnership,Add as Oman/Muscat diet meal-plan anchor,route_ready_affiliate_pending
761,Nourish Meals,/go/nourish-meals/,US,prepared meals,regional chef-prepared healthy meals delivered fresh for family and convenience demand,https://nourishmeals.com/,direct partnership,Add to regional prepared meal pages with delivery-area caveat,route_ready_affiliate_pending
762,Nourish to Heal,/go/nourish-to-heal/,US,diet prepared meals,New Jersey and Pennsylvania chef-crafted dietitian-approved fresh meal delivery brand,https://nourishtoheal.com/,direct partnership,Add to US regional dietitian-approved prepared-meal pages,route_ready_affiliate_pending
763,Nu-Table,/go/nu-table/,Japan,prepared meals,Japanese homemade meal delivery service with rotating menus and recurring plan model,https://www.nu-table.com/,direct partnership,Add to Japan local prepared meal challenger pages,route_ready_affiliate_pending
764,Nurish,/go/nurish/,Mexico,prepared meals,Mexico City healthy meal prep service delivering chef-prepared meals weekly,https://nurish.mx/,direct partnership,Add to Mexico City prepared meal pages,route_ready_affiliate_pending
765,Nuthera,/go/nuthera/,Philippines,diet prepared meals,Philippines healthy meal plan delivery service referenced in current Metro Manila meal-plan guides,https://nuthera.ph/,direct partnership,Add to Philippines diet meal challenger pages,route_ready_affiliate_pending
766,Nutre,/go/nutre/,US,prepared meals,healthy prepared meal delivery for New England and tri-state area with weekly rotating menus,https://www.gonutre.com/,direct partnership,Add to regional US prepared meal pages,route_ready_affiliate_pending
767,Nutri Muscle Meals,/go/nutri-muscle-meals/,US,high protein meal prep,Virginia and Washington DC local meal-prep delivery service with weekly prepared meal packages,https://www.nutrimusclemeals.com/,direct partnership,Add to Virginia/DC high-protein meal-prep pages,route_ready_affiliate_pending
768,Nutric Bistro,/go/nutric-bistro/,Czech Republic,diet prepared meals,"Czech premium low-carb, paleo, and fit boxed diet delivery brand",https://www.nutricbistro.cz/,direct partnership,Add to Czech low-carb and diet prepared meal pages,route_ready_affiliate_pending
769,NutriChef Bangkok,/go/nutrichef-bangkok/,Thailand,diet prepared meals,"Bangkok healthy meal-prep delivery brand with weight-loss, keto, vegan, and fitness meal-plan positioning",https://thenutrichef.com/,direct partnership,Add as Bangkok healthy diet meal-prep anchor,route_ready_affiliate_pending
770,Nutrichef Greece,/go/nutrichef-greece/,Greece,diet prepared meals,Greece nutritionally designed ready-to-eat meal delivery service with program-based ordering,https://nutrichef.gr/,direct partnership,Add as Greece healthy prepared-meal anchor,route_ready_affiliate_pending
771,NutriFit,/go/nutrifit/,US,diet prepared meals,California customized prepared meal delivery brand with rotating gourmet menus and dietary options,https://www.nutrifitonline.com/,direct partnership,Add to US customized diet meal pages,route_ready_affiliate_pending
772,Nutrify Meals,/go/nutrify-meals/,Singapore,diet prepared meals,Singapore healthy meal prep and nutrition-focused delivery candidate,https://nutrifymeals.com/,direct partnership,Add to Singapore diet meal candidate pages,route_ready_affiliate_pending
773,Nutrition Kitchen Hong Kong,/go/nutrition-kitchen-hong-kong/,Hong Kong,prepared meals,Hong Kong healthy meal-plan brand with fresh prepared meals delivered for fitness and busy professionals,https://nutritionkitchenhk.com/,direct partnership,Add to Hong Kong prepared meal-plan comparisons,route_ready_affiliate_pending
774,Nutrition Kitchen UAE,/go/nutrition-kitchen-uae/,UAE,prepared meals,UAE fresh ready-made meals delivered daily with chef-designed recipes and reheating convenience,https://nutritionkitchenuae.com/,direct partnership,Add to UAE prepared meal and daily meal-plan pages,route_ready_affiliate_pending
775,NutritionPro,/go/nutritionpro/,Czech Republic,diet prepared meals,Czech healthy meal box delivery in Prague and Brno with flexible meal plans and subscriptions,https://nutritionpro.cz/en/,direct partnership,Add to Czech healthy boxed meal pages,route_ready_affiliate_pending
776,Ofelimon,/go/ofelimon/,Cyprus,prepared meals,Cyprus customizable healthy prepared-meal delivery brand focused on heat-and-eat convenience,https://ofelimon.com.cy/,direct partnership,Add to Cyprus prepared meal alternatives,route_ready_affiliate_pending
777,Oh My Guts,/go/oh-my-guts/,Belgium,diet prepared meals,Belgian gut-health and low-FODMAP friendly prepared meal candidate,https://ohmyguts.be/,direct partnership,Add to Belgium special-diet meal pages,route_ready_affiliate_pending
778,Oisix,/go/oisix/,Japan,meal kit and grocery dinner delivery,Japanese grocery and meal-kit service with regular daily-meal delivery and Kit Oisix style dinner kits,https://en.oisixradaichi.co.jp/services/,direct partnership,Add to Japan meal-kit and grocery-dinner pages,route_ready_affiliate_pending
779,Olive and Basil Kenya,/go/olive-and-basil-kenya/,Kenya,plant-based prepared meals,Nairobi plant-based meal subscription and delivery brand with vegan and vegetarian prepared meals,https://oliveandbasil.co.ke/,direct partnership,Add as Kenya plant-based meal delivery anchor,route_ready_affiliate_pending
780,One Life Meals,/go/one-life-meals/,Canada,diet prepared meals,Greater Toronto Area healthy meal-prep subscription brand with weight-loss plans and fresh chef-prepared meals,https://www.onelifemeals.com/,direct partnership,Add to Toronto diet and weight-loss prepared-meal pages,route_ready_affiliate_pending
781,OPTAVIA,/go/optavia/,US,diet meal replacement,structured weight-loss fuelings and meal replacements for diet meal-plan comparison demand,https://www.optavia.com/us/en/shop/plans/weight-loss/c/meal-replacement,affiliate application,Add to weight-loss meal replacement pages with medical/legal caveats,route_ready_affiliate_pending
782,OTR Meals,/go/otr-meals/,Canada,prepared meals,Toronto healthy chef-prepared meal delivery with nutritionist-designed meals and no-cooking-required positioning,https://otrmeals.com/,direct partnership,Add to Canada/Toronto prepared meal pages,route_ready_affiliate_pending
783,P.F. Chang's Home Menu,/go/p-f-chang-s-home-menu/,US,frozen skillet meals,"Asian-inspired frozen meals, skillet meals, and appetizers for grocery dinner comparisons",https://www.pfchangshomemenu.com/,retail affiliate,Add to Asian frozen dinner pages,route_ready_affiliate_pending
784,Paleo Robbie,/go/paleo-robbie/,Thailand,healthy meal delivery,"Thailand healthy prepared food, grocery, and meal plan delivery brand with Paleo and organic positioning",https://paleorobbie.com/,direct partnership,Add as Thailand healthy grocery and prepared meal anchor,route_ready_affiliate_pending
785,Perfectly Plated,/go/perfectly-plated/,US,prepared meals,Regional prepared-meal and freezer-meal brand with individual and family-sized heat-and-eat options,https://perfectlyplated.com/,direct partnership,Add to regional family prepared-meal alternatives,route_ready_affiliate_pending
786,Performance Ready Nutrition,/go/performance-ready-nutrition/,US,high protein meal prep,US regional macro-friendly prepared meal brand for fitness goals and whole-food meal prep,https://www.performancereadynutrition.com/,direct partnership,Add to US performance meal-prep alternatives,route_ready_affiliate_pending
787,Pickle.ph,/go/pickle-ph/,Philippines,diet prepared meals,Metro Manila healthy food delivery service offering calorie-controlled and macro-balanced meals,https://pickle.ph/,direct partnership,Add as Philippines calorie-controlled meal-plan anchor,route_ready_affiliate_pending
788,Plan Nutritivo,/go/plan-nutritivo/,Chile,diet prepared meals,Chile healthy prepared meal-plan provider delivering fresh nutritious meals twice weekly,https://plannutritivo.cl/,direct partnership,Add to Chile healthy prepared meal alternatives,route_ready_affiliate_pending
789,Plantiful Bangkok,/go/plantiful-bangkok/,Thailand,plant-based prepared meals,Bangkok plant-based meal-plan brand selling multi-day chef-crafted meal and snack packages,https://www.plantifulbkk.com/plans,direct partnership,Add to Thailand plant-based meal-plan pages,route_ready_affiliate_pending
790,Popapej,/go/popapej/,Czech Republic,diet prepared meals,"Czech boxed-meal service with classic, fitness, low-carb, bodybuilding, and meat-free programs",https://www.popapej.cz/,direct partnership,Add to Czech fitness and low-carb prepared meal pages,route_ready_affiliate_pending
791,Popchef,/go/popchef/,France,prepared meals,French prepared food/catering brand with office-lunch relevance but not a standard home meal delivery route,https://www.popchef.com/,direct partnership after fit check,Account for B2B/lunch search demand but avoid normal consumer recommendation,route_ready_affiliate_pending
792,Prep To Your Door,/go/prep-to-your-door/,US,plant-based prepared meals,Austin and Houston plant-based organic ready-to-eat meal delivery brand with zero-waste packaging,https://preptoyourdoor.com/,direct partnership,Add to Texas plant-based prepared-meal pages,route_ready_affiliate_pending
793,Prepboys Meal Prep,/go/prepboys-meal-prep/,US,high protein meal prep,"Bay Area meal-prep service with one-time packs, subscriptions, pickup, and local delivery",https://www.prepboysmealprep.com/,direct partnership after reputation check,Add to Bay Area meal-prep alternatives with cautious source note,route_ready_affiliate_pending
794,PrepHero,/go/prephero/,UAE,high protein meal prep,"Dubai/UAE macro-tracked chef-made meal-plan delivery brand with weight-loss, muscle-gain, and everyday wellness plans",https://www.myprephero.com/,direct partnership,Add to UAE high-protein and prepared meal-plan pages,route_ready_affiliate_pending
795,Prepped N' Plated,/go/prepped-n-plated/,US,high protein meal prep,"Chicago-area meal-prep service focused on fresh healthy prepared meals, macros, and local delivery",https://preppednplated.com/,direct partnership,Add to Chicago macro meal-prep alternatives,route_ready_affiliate_pending
796,Primal Balance Nutrition,/go/primal-balance-nutrition/,US,organic prepared meals,"Southern California organic non-GMO meal-prep delivery brand serving San Diego, Orange County, and Los Angeles",https://www.primalbalancenutrition.com/,direct partnership,Add to organic/no-seed-oil meal-prep alternatives,route_ready_affiliate_pending
797,Primal Kitchen,/go/primal-kitchen/,US,grocery dinner helpers,"paleo and keto sauces, pantry shortcuts, and clean-label dinner helpers for grocery meal planning",https://www.primalkitchen.com/,retail affiliate,Add to paleo/keto grocery dinner helper pages,route_ready_affiliate_pending
798,Primal Kitchen Sauces,/go/primal-kitchen-sauces/,US,grocery dinner helpers,"paleo/keto sauces, dressings, and pantry shortcuts for healthy dinner planning",https://www.primalkitchen.com/,retail affiliate,Add product-route variant for sauce/dinner helper pages,route_ready_affiliate_pending
799,Primal Organic,/go/primal-organic/,US,organic prepared meals,"Miami organic meal-plan delivery brand with paleo, keto, vegan, and high-protein low-carb options",https://www.primalorganicmiami.com/,direct partnership,Add to Miami organic and low-carb meal-plan pages,route_ready_affiliate_pending
800,Project LeanNation,/go/project-leannation/,US,high protein meal prep,"personalized meal plans, coaching, and prepared meals for health and body-composition goals",https://projectleannation.com/,direct partnership,Add to US high-protein and coaching-led meal prep pages,route_ready_affiliate_pending
801,Pronto Light,/go/pronto-light/,Brazil,diet prepared meals,Brazilian diet and healthy frozen meal delivery brand,https://www.prontolight.com.br/,direct partnership,Add to Brazil diet prepared meal pages,route_ready_affiliate_pending
802,Protein Box Egypt,/go/protein-box-egypt/,Egypt,high protein meal prep,"Egypt healthy prepared meal delivery brand with high-protein, keto, and weekly package demand",https://www.proteinbox-egypt.com/,direct partnership,Add as Egypt high-protein meal-prep anchor,route_ready_affiliate_pending
803,Protein Fitness Meals,/go/protein-fitness-meals/,Kuwait,high protein meal prep,Kuwait diet-plan manufacturer focused on protein and fitness meal plans,https://proteinfitnessmeals.com/,direct partnership,Add to Kuwait high-protein meal-prep alternatives,route_ready_affiliate_pending
804,Protein Kuwait,/go/protein-kuwait/,Kuwait,high protein meal prep,Kuwait specialized diet-plan and protein/fitness meal brand from United Catering Company,https://proteinfitnessmeals.com/,direct partnership,Add to Kuwait high-protein meal-prep pages,route_ready_affiliate_pending
805,Pure Meal Prep SD,/go/pure-meal-prep-sd/,US,prepared meals,San Diego organic meal-prep delivery brand with rotating chef-crafted prepared meals,https://puremealprepsd.com/,direct partnership,Add to San Diego prepared-meal alternatives,route_ready_affiliate_pending
806,Pure Prep Bangkok,/go/pure-prep-bangkok/,Thailand,high protein meal prep,Bangkok meal prep delivery candidate for macro-friendly and high-protein prepared meals,https://pureprepbangkok.com/,direct partnership,Add to Thailand high-protein meal-prep pages with regional caveat,route_ready_affiliate_pending
807,Queal,/go/queal/,Europe,complete nutrition meal replacement,nutritionally complete shakes and complete meals positioned for fast smart nutrition,https://queal.com/,direct partnership,Add to complete-food alternatives pages,route_ready_affiliate_pending
808,Quomi,/go/quomi/,Italy,meal kit,historical Italian meal-kit brand with alternatives search demand,https://www.quomi.it/,not ready,Use for alternatives pages only unless active ordering returns,route_ready_affiliate_pending
809,Rafinera,/go/rafinera/,Turkey,diet prepared meals,"Turkey dietitian-led daily diet meal package service with calorie plans, protein-plus options, and Istanbul meal delivery demand",https://www.rafinera.com/,direct partnership,Add to Turkey diet meal delivery and protein-plus prepared meal pages,route_ready_affiliate_pending
810,ReadyFitGo,/go/readyfitgo/,US,prepared meals,US ready-made healthy meal prep with pickup and delivery route,https://readyfitgo.com/,direct partnership,Add to US regional prepared-meal alternatives,route_ready_affiliate_pending
811,Real Good Foods,/go/real-good-foods/,US,high protein frozen meals,"high-protein, low-carb, gluten-free frozen meals, chicken, and snacks for macro-friendly dinner searches",https://realgoodfoods.com/collections/all,retail affiliate,Add to high-protein frozen meal pages,route_ready_affiliate_pending
812,Redefine Meals,/go/redefine-meals/,US,prepared meals,"Long Island, NYC, and Westchester meal-prep brand with 60-plus chef-prepared meals and delivery/pickup routes",https://www.redefinemeals.com/,direct partnership,Add to New York regional prepared-meal pages,route_ready_affiliate_pending
813,Right Bite Saudi Arabia,/go/right-bite-saudi-arabia/,Saudi Arabia,diet prepared meals,"Saudi healthy meal-plan delivery brand serving Riyadh, Al-Khobar, and Dammam with calorie-controlled fresh meals",https://rightbite.com/en-sa/home,direct partnership,Add to Saudi diet prepared meal pages,route_ready_affiliate_pending
814,Right Calories Bahrain,/go/right-calories-bahrain/,Bahrain,diet prepared meals,"Bahrain healthy meal-plan delivery brand with balanced, low-carb, high-protein, and custom programs",https://www.rightcalories.com/bh,direct partnership,Add as Bahrain diet meal-plan anchor,route_ready_affiliate_pending
815,Rita bringt's,/go/rita-bringt-s/,Austria,prepared vegetarian meals,Vienna vegetarian and vegan organic lunch delivery by cargo bike,https://www.ritabringts.at/,direct partnership,Add to Austria and Vienna vegetarian prepared-meal pages,route_ready_affiliate_pending
816,Runtime,/go/runtime/,Europe,complete nutrition meal replacement,gaming and creator-focused meal replacement powder with historical search demand,https://runtime.gg/,verify before monetization,Use only for alternatives pages until active checkout is verified,route_ready_affiliate_pending
817,Rutabago,/go/rutabago/,France,organic meal kit,French organic recipe basket and meal-kit brand for sustainable home-cooking demand,https://www.rutabago.com/,direct partnership,Add to France organic meal-kit pages,route_ready_affiliate_pending
818,Rutiz,/go/rutiz/,France,prepared meals,French fresh prepared meal delivery candidate for healthy ready-meal demand,https://rutiz.fr/,direct partnership,Add to France prepared meal challenger pages,route_ready_affiliate_pending
819,Safari Eatz,/go/safari-eatz/,South Africa,high protein meal prep,South African meal-prep candidate with heat-and-eat healthy meals and weekly ordering,https://safarieatz.com/meal-prep/,direct partnership,Add to South Africa high-protein meal-prep pages with region caveat,route_ready_affiliate_pending
820,Saffron Road,/go/saffron-road/,US,frozen prepared meals,certified halal and mostly gluten-free frozen dinners with international cuisine positioning,https://www.saffronroad.com/collections/frozen-dinners,retail affiliate,"Add to halal, gluten-free, and international frozen dinner pages",route_ready_affiliate_pending
821,Saturo,/go/saturo/,Europe,complete nutrition meal replacement,ready-to-drink complete meal with high-protein and vegan positioning,https://saturo.com/en-us,direct partnership,Add to ready-to-drink meal replacement comparisons,route_ready_affiliate_pending
822,SecondChef,/go/secondchef/,Italy,meal kit,Italian recipe-kit and dinner box candidate with local availability to verify,https://www.secondchef.it/,direct partnership,Add with delivery-area caveat,route_ready_affiliate_pending
823,Shef,/go/shef/,US,local chef prepared meals,"homemade meals delivered weekly from vetted local chefs, positioned as a shared personal-chef alternative",https://shef.com/,affiliate application,Add to local chef and homemade prepared meal pages,route_ready_affiliate_pending
824,Siete Foods,/go/siete-foods/,US,grocery dinner helpers,"grain-free tortillas, sauces, beans, and pantry dinner helpers for grocery-assisted meals",https://sietefoods.com/,retail affiliate,Add to grocery dinner helper pages,route_ready_affiliate_pending
825,Simply You Box,/go/simply-you-box/,belgium,retail meal kit,Carrefour-backed Belgian recipe box with historical search demand,https://www.carrefour.com/en/news/carrefour-simply-you-box-has-arrived,not ready; verify active status,Account for search demand but do not recommend until active status is confirmed,route_ready_affiliate_pending
826,Smart Meals PH,/go/smart-meals-ph/,Philippines,diet prepared meals,Philippines diet prepared meal and calorie-controlled meal delivery candidate,https://smartmeals.ph/,direct partnership,Add to Philippines diet meal candidate pages,route_ready_affiliate_pending
827,SmartFOOD Estonia,/go/smartfood-estonia/,Estonia,diet prepared meals,Estonia complete daily meal system delivering five dietitian-planned meals in the morning,https://smartfood.ee/en/,direct partnership,Add to Estonia boxed diet pages,route_ready_affiliate_pending
828,Smartfood Hungary,/go/smartfood-hungary/,Hungary,diet prepared meals,Hungary complete meal system delivering five dietitian-designed meals per day,https://smart-food.hu/in-english/,direct partnership,Add to Hungary boxed diet alternatives,route_ready_affiliate_pending
829,Smartmat,/go/smartmat/,Belgium,meal kit,Belgian meal-box brand with weekly recipes and ingredients for home cooking,https://www.smartmat.be/,direct partnership,Add to Belgium meal-kit challenger pages,route_ready_affiliate_pending
830,Soylent,/go/soylent/,US,complete nutrition meal replacement,"shelf-stable complete meal shakes, powders, and drinks for quick no-prep meal replacement demand",https://soylent.com/collections/meal-replacements,affiliate application,Add to US complete meal replacement comparisons,route_ready_affiliate_pending
831,Soylent Complete Protein,/go/soylent-complete-protein/,US,complete nutrition meal replacement,ready-to-drink complete nutrition/protein products for quick meal replacement demand,https://soylent.com/,affiliate application,Add as Soylent product-route variant for complete nutrition searches,route_ready_affiliate_pending
832,STOCKED,/go/stocked/,UK,frozen prepared meals,"UK frozen meal-block brand delivering award-winning meat, plant-based, and family-favourite meals",https://stockedfood.com/,affiliate application,Add to UK frozen ready-meal pages,route_ready_affiliate_pending
833,Stouffer's,/go/stouffer-s/,US,comfort frozen meals,"mainstream frozen entrees, lasagna, macaroni and cheese, and family-size dinner options",https://www.goodnes.com/stouffers/,retail affiliate,Promote candidate to active grocery frozen meal coverage,route_ready_affiliate_pending
834,SupperWorks Meals for One,/go/supperworks-meals-for-one/,Canada,frozen prepared meals,Ontario single-serve frozen prepared meals with closure/availability caveat from current public evidence,https://supportontariomade.ca/explore-products/supperworks-meals-for-one,not ready,Account for alternatives demand only; do not recommend as active until ordering route is proven,route_ready_affiliate_pending
835,Sweet Earth,/go/sweet-earth/,US,frozen plant-based meals,plant-forward frozen dinners and bowls with vegan and protein-forward grocery relevance,https://www.goodnes.com/sweet-earth/,retail affiliate,Add to vegan and plant-based grocery dinner pages,route_ready_affiliate_pending
836,Table & Twine,/go/table-and-twine/,US,restaurant prepared meals,"chef-driven restaurant-quality prepared meals, entertaining packages, and finish-at-home meals",https://tableandtwine.com/,direct partnership,Add to regional restaurant prepared meal pages with route caveat,route_ready_affiliate_pending
837,Take Eat Easy Spain,/go/take-eat-easy-spain/,Spain,prepared meals,Spanish healthy prepared meal and menu delivery candidate,https://takeateasy.es/,direct partnership,Add with route check caveat,route_ready_affiliate_pending
838,Tappers,/go/tappers/,Spain,prepared meals,Spanish prepared meal delivery brand for fresh heat-and-eat weekly meals,https://tappers.es/,direct partnership,Add to Spain prepared meal challenger pages,route_ready_affiliate_pending
839,Tasty Bite,/go/tasty-bite/,US,shelf-stable meals,"ready-to-eat Indian meals, bowls, rice, entrees, and sauces for fast pantry dinners",https://www.tastybite.com/collections/all,retail affiliate,"Add to shelf-stable, Indian, vegetarian, and pantry dinner pages",route_ready_affiliate_pending
